origin_node_id,origin_name,destination_node_id,destination_name,distance_miles,travel_time_minutes
1,Trader Joe's,1,Trader Joe's,0.0,0.0
1,Trader Joe's,2,Sprouts,0.663906,3.736658
1,Trader Joe's,3,Stater Bros,0.295613,1.841728
1,Trader Joe's,4,Redlands Ranch Market,1.194845,4.004316
1,Trader Joe's,5,Stater Bros,2.214554,7.114226
1,Trader Joe's,6,Target Grocery,2.302771,5.57376
1,Trader Joe's,7,Gerrards,1.747691,6.179275
1,Trader Joe's,8,Albertsons,1.760546,5.403467
1,Trader Joe's,9,Costco Wholesale,4.777341,8.323841
1,Trader Joe's,10,Grocery Outlet,4.616431,7.551024
1,Trader Joe's,11,Food 4 Less,3.144998,5.878355
1,Trader Joe's,12,Stater Bros,3.27991,8.199489
1,Trader Joe's,13,Esri,1.384151,5.309047
2,Sprouts,1,Trader Joe's,0.669623,3.576255
2,Sprouts,2,Sprouts,0.0,0.0
2,Sprouts,3,Stater Bros,0.987849,3.649296
2,Sprouts,4,Redlands Ranch Market,2.015301,5.786429
2,Sprouts,5,Stater Bros,1.863257,5.341362
2,Sprouts,6,Target Grocery,2.038395,7.522917
2,Sprouts,7,Gerrards,1.548039,4.958742
2,Sprouts,8,Albertsons,1.896307,7.053407
2,Sprouts,9,Costco Wholesale,5.4008,10.326664
2,Sprouts,10,Grocery Outlet,5.23989,9.553847
2,Sprouts,11,Food 4 Less,3.768457,7.881178
2,Sprouts,12,Stater Bros,4.100364,9.981541
2,Sprouts,13,Esri,0.794758,3.043334
3,Stater Bros,1,Trader Joe's,0.308265,1.924889
3,Stater Bros,2,Sprouts,0.992921,3.496716
3,Stater Bros,3,Stater Bros,0.0,0.0
3,Stater Bros,4,Redlands Ranch Market,1.114654,3.487155
3,Stater Bros,5,Stater Bros,2.488456,7.016168
3,Stater Bros,6,Target Grocery,2.100875,5.17308
3,Stater Bros,7,Gerrards,1.817713,6.457768
3,Stater Bros,8,Albertsons,1.625754,5.512345
3,Stater Bros,9,Costco Wholesale,4.575445,7.923161
